nome1   7.3 7.3 89
nome2   7.5 7.5 88
nome3   5.8 5.8 72
nome4   5.5 5.5 60
nome5   6.1 6.1 79
nome6   3.3 3.3 80
nome7   6.2 6.2 73
nome8   8.0 8.0 92
nome9   7.8 7.8 87
nome10  6.8 6.8 77
nome11  8.0 8.0 90
nome12  9.5 9.5 95
nome13  7.1 7.1 83
nome14  5.2 5.2 86
nome15  6.0 6.0 70
nome16  7.6 7.6 71
nome17  7.9 7.9 87
nome18  9.0 9.0 93
nome19  6.6 6.6 85
nome20  9.2 9.2 92
nome21  7.2 7.2 76
nome22  7.4 7.4 75
nome23  6.3 6.3 78
nome24  6.5 6.5 79
nome25  8.5 8.5 91
nome26  8.2 8.2 90
nome27  7.7 7.7 84
nome28  6.0 6.0 74
nome29  8.3 8.3 88
nome30  6.4 6.4 68
